,Player,Position,Team,Age,Club,Games,Shots,Goals,Touches,Passes
35,Ali Assadalla,MF,Qatar,29-333,Al Sadd SC,1,0,0,24.0,23.0
43,Alistair Johnston,DF,Canada,24-071,CF Montréal,3,2,0,209.0,186.0
186,Enzo Ebosse,DF,Cameroon,23-282,Udinese,1,0,0,49.0,38.0
669,Yunus Musah,MF,United States,20-019,Valencia,4,4,0,221.0,182.0
158,DeAndre Yedlin,DF,United States,29-162,Inter Miami,2,0,0,32.0,28.0
237,Hakim Ziyech,FW,Morocco,29-274,Chelsea,7,10,1,386.0,306.0
95,Borna Barišić,DF,Croatia,30-038,Rangers,1,1,0,81.0,69.0
328,Jude Bellingham,MF,England,19-172,Dortmund,5,5,1,324.0,265.0
405,Marcelo Brozović,MF,Croatia,30-032,Inter,6,4,0,594.0,530.0
380,Leander Dendoncker,DF,Belgium,27-247,Aston Villa,2,1,0,142.0,122.0
218,Gaël Ondoua,MF,Cameroon,27-044,Hannover 96,2,0,0,25.0,19.0
464,Morteza Pouraliganji,DF,IR Iran,30-243,Persepolis,3,2,0,156.0,128.0
204,Filip Kostić,DF,Serbia,30-047,Juventus,2,1,0,130.0,113.0
100,Breel Embolo,FW,Switzerland,25-307,Monaco,4,6,2,92.0,62.0
374,Kwon Kyung-won,DF,Korea Republic,30-321,Gamba Osaka,2,1,0,53.0,43.0
233,Guido Rodríguez,MF,Argentina,28-250,Betis,1,0,0,69.0,64.0
162,Denis Zakaria,MF,Switzerland,26-028,Chelsea,2,1,0,32.0,23.0
577,Saša Lukić,MF,Serbia,26-127,Torino,3,1,0,182.0,162.0
535,Raúl Jiménez,FW,Mexico,31-227,Wolves,3,0,0,37.0,32.0
497,Noah Okafor,FW,Switzerland,22-208,RB Salzburg,3,1,0,29.0,22.0
89,Bartosz Bereszyński,DF,Poland,30-159,Sampdoria,4,0,0,197.0,156.0
598,Stephen Eustáquio,MF,Canada,25-362,Porto,2,3,0,109.0,93.0
208,Fodé Ballo-Touré,DF,Senegal,25-349,Milan,1,0,0,10.0,8.0
85,Baba Rahman,DF,Ghana,28-169,Reading,3,0,0,121.0,100.0
254,Hong Chul,DF,Korea Republic,32-092,Daegu,1,0,0,24.0,20.0
540,Richarlison,FW,Brazil,25-222,Tottenham,4,8,3,97.0,58.0
442,Michael Estrada,FW,Ecuador,26-255,Cruz Azul,3,3,0,71.0,50.0
27,Alex Telles,DF,Brazil,30-003,Sevilla,2,0,0,46.0,42.0
284,Jason Cummings,FW,Australia,27-139,Central Coast,1,0,0,9.0,6.0
459,Mohammed Muntari,FW,Qatar,28-363,Al Duhail SC,3,3,1,28.0,19.0
652,Xherdan Shaqiri,FW,Switzerland,31-069,Chicago Fire,3,4,1,111.0,104.0
256,Hossein Kanaanizadegan,DF,IR Iran,28-270,Al Ahli SC,1,0,0,15.0,11.0
484,Nico Elvedi,DF,Switzerland,26-079,M'Gladbach,2,1,0,165.0,142.0
292,Jesús Ferreira,FW,United States,21-359,FC Dallas,1,0,0,24.0,19.0
125,Christian Fassnacht,FW,Switzerland,29-037,Young Boys,1,1,0,12.0,10.0
169,Djorkaeff Reasco,FW,Ecuador,23-334,Newell's OB,1,0,0,3.0,2.0
529,Ramin Rezaeian,DF,IR Iran,32-272,Sepahan,2,2,1,130.0,105.0
422,Mason Mount,MF,England,23-342,Chelsea,4,4,0,91.0,73.0
76,Aurélien Tchouaméni,MF,France,22-325,Real Madrid,7,6,1,533.0,474.0
91,Ben Davies,DF,Wales,29-238,Tottenham,3,3,0,184.0,161.0
29,Alexander Djiku,DF,Ghana,28-131,Strasbourg,2,0,0,43.0,28.0
171,Dries Mertens,MF,Belgium,35-226,Galatasaray,2,3,0,39.0,33.0
19,Ahmed Alaaeldin,FW,Qatar,29-321,Al-Gharafa Sports Club,1,0,0,2.0,2.0
147,Daniel James,FW,Wales,25-038,Fulham,3,0,0,49.0,36.0
170,Dominik Livaković,GK,Croatia,27-343,Dinamo Zagreb,7,0,0,245.0,228.0
9,Abdulelah Al-Amri,DF,Saudi Arabia,25-337,Al-Nassr,3,1,0,129.0,104.0
417,Marten de Roon,MF,Netherlands,31-264,Atalanta,5,0,0,142.0,119.0
440,Memphis,FW,Netherlands,28-308,Barcelona,5,10,1,165.0,123.0
185,Enner Valencia,FW,Ecuador,33-044,Fenerbahçe,3,8,3,98.0,57.0
8,Abdulaziz Hatem,MF,Qatar,32-051,Al Rayyan SC,3,1,0,98.0,91.0
408,Marcos Llorente,DF,Spain,27-322,Atlético Madrid,1,1,0,107.0,106.0
120,Cho Guesung,FW,Korea Republic,24-327,Jeonbuk,4,9,2,88.0,63.0
38,Ali Maâloul,DF,Tunisia,32-351,Al Ahly SC,1,0,0,70.0,63.0
90,Bassam Al-Rawi,DF,Qatar,25-002,Al Duhail SC,1,0,0,68.0,57.0
134,Cristiano Ronaldo,FW,Portugal,37-316,Manchester Utd,5,10,1,116.0,90.0
428,Mathías Olivera,DF,Uruguay,25-048,Napoli,3,2,0,178.0,133.0
492,Nicolás Tagliafico,DF,Argentina,30-109,Lyon,6,3,0,220.0,178.0
646,William Carvalho,MF,Portugal,30-255,Betis,4,1,0,182.0,170.0
124,Christian Eriksen,MF,Denmark,30-307,Manchester Utd,3,4,0,253.0,230.0
87,Bailey Wright,DF,Australia,30-143,Sunderland,1,0,0,5.0,3.0
199,Facundo Pellistri,MF,Uruguay,20-363,Manchester Utd,3,1,0,66.0,46.0
108,Bryan Ruiz,MF,Costa Rica,37-122,Liga Deportiva Alajuelense,1,0,0,14.0,12.0
339,Kamaldeen Sulemana,FW,Ghana,20-306,Rennes,2,1,0,28.0,19.0
553,Rogelio Funes Mori,FW,Mexico,31-288,Monterrey,1,1,0,2.0,0.0
392,Lucas Cavallini,FW,Canada,29-355,Vancouver,1,0,0,3.0,2.0
341,Kamil Grosicki,MF,Poland,34-193,Pogoń Szczecin,1,0,0,6.0,6.0
340,Kamil Glik,DF,Poland,34-318,Benevento,4,3,0,167.0,130.0
406,Marco Asensio,FW,Spain,26-331,Real Madrid,4,10,1,150.0,119.0
630,Unai Simón,GK,Spain,25-190,Athletic Club,4,0,0,167.0,160.0
245,Hassan Al-Haydos,MF,Qatar,32-007,Al Sadd SC,3,1,0,101.0,80.0
323,João Mário,FW,Portugal,29-333,Benfica,2,0,0,52.0,40.0
121,Cho Yumin,FW,Korea Republic,26-031,Daejeon Citizen FC,1,0,0,0.0,0.0
191,Erick Gutiérrez,MF,Mexico,27-186,PSV Eindhoven,1,0,0,34.0,29.0
226,Gleison Bremer,DF,Brazil,25-275,Juventus,2,1,0,95.0,84.0
624,Tim Ream,DF,United States,35-074,Fulham,4,1,0,305.0,276.0
334,Jurriën Timber,DF,Netherlands,21-184,Ajax,4,0,0,361.0,313.0
257,Hugo Lloris,GK,France,35-357,Tottenham,6,0,0,203.0,182.0
320,José María Giménez,DF,Uruguay,27-332,Atlético Madrid,3,3,0,213.0,174.0
633,Victor Nelsson,DF,Denmark,24-065,Galatasaray,1,0,0,79.0,74.0
220,Germán Pezzella,DF,Argentina,31-174,Betis,3,1,0,47.0,45.0
259,Hwang In-beom,MF,Korea Republic,26-089,Olympiacos,4,6,0,276.0,247.0
528,Raheem Sterling,FW,England,28-010,Chelsea,3,1,1,68.0,55.0
290,Jerome Ngom Mbekeli,MF,Cameroon,24-079,Colombe Sportive du Dja et Lobo,1,0,0,4.0,2.0
456,Mohamed Kanno,MF,Saudi Arabia,28-087,Al-Hilal,3,6,0,184.0,147.0
39,Alidu Seidu,DF,Ghana,22-197,Clermont Foot,2,1,0,98.0,78.0
214,Gabriel Jesus,FW,Brazil,25-259,Arsenal,3,2,0,39.0,28.0
344,Karim Boudiaf,MF,Qatar,32-093,Al Duhail SC,3,0,0,122.0,106.0
250,Hiroki Ito,DF,Japan,23-220,Stuttgart,1,0,0,64.0,63.0
179,Edouard Mendy,GK,Senegal,30-292,Chelsea,4,0,0,128.0,120.0
151,Danny Ward,GK,Wales,29-179,Leicester City,2,0,0,42.0,39.0
525,Piotr Zieliński,MF,Poland,28-212,Napoli,4,3,1,178.0,153.0
599,Steve Mandanda,GK,France,37-265,Rennes,1,0,0,32.0,31.0
389,Lisandro Martínez,DF,Argentina,24-334,Manchester Utd,5,1,0,188.0,156.0
561,Rónald Matarrita,DF,Costa Rica,28-162,FC Cincinnati,2,0,0,30.0,29.0
636,Vinicius Júnior,FW,Brazil,22-159,Real Madrid,4,9,1,132.0,90.0
418,Martin Braithwaite,FW,Denmark,31-196,Espanyol,2,1,0,24.0,20.0
362,Kim Moonhwan,DF,Korea Republic,27-139,Jeonbuk,4,0,0,289.0,242.0
521,Phil Foden,FW,England,22-204,Manchester City,4,6,1,143.0,117.0
438,Mehdi Taremi,FW,IR Iran,30-153,Porto,3,5,2,123.0,78.0
0,Aaron Mooy,MF,Australia,32-094,Celtic,4,1,0,255.0,217.0
370,Krzysztof Piątek,FW,Poland,27-170,Salernitana,2,1,0,9.0,6.0
242,Harry Souttar,DF,Australia,24-057,Stoke City,4,1,0,213.0,167.0
4,Abderrazak Hamdallah,FW,Morocco,32-001,Al-Ittihad,4,2,0,28.0,15.0
467,Musab Kheder,DF,Qatar,29-083,Al Sadd SC,1,0,0,5.0,3.0
317,Josip Stanišić,DF,Croatia,22-260,Bayern Munich,1,1,0,56.0,49.0
498,Nouhou Tolo,DF,Cameroon,25-178,Seattle,3,0,0,145.0,109.0
212,Frenkie de Jong,MF,Netherlands,25-220,Barcelona,5,2,1,408.0,364.0
62,Anthony Contreras,FW,Costa Rica,22-323,Club Sport Herediano,3,0,0,38.0,26.0
546,Robert Lewandowski,FW,Poland,34-119,Barcelona,4,10,2,153.0,91.0
596,Srđan Babić,DF,Serbia,26-240,Almería,1,0,0,16.0,16.0
511,Pape Gueye,MF,Senegal,23-328,Marseille,3,4,0,81.0,62.0
338,Kamal Miller,DF,Canada,25-216,CF Montréal,3,0,0,229.0,205.0
409,Marcus Rashford,FW,England,25-048,Manchester Utd,5,11,3,92.0,66.0
93,Bernardo Silva,MF,Portugal,28-130,Manchester City,5,1,0,309.0,292.0
181,Eduardo Camavinga,DF,France,20-038,Real Madrid,2,0,0,138.0,100.0
520,Pervis Estupiñán,DF,Ecuador,24-331,Brighton,3,1,0,217.0,190.0
589,Silvan Widmer,DF,Switzerland,29-288,Mainz 05,3,1,0,208.0,169.0
282,Jan Bednarek,DF,Poland,26-250,Aston Villa,1,0,0,6.0,6.0
294,Jewison Bennette,MF,Costa Rica,18-186,Sunderland,3,1,0,29.0,14.0
281,Jamie Maclaren,FW,Australia,29-142,Melb City,3,0,0,15.0,15.0
165,Diego Godín,DF,Uruguay,36-305,Vélez Sarsf,2,1,0,116.0,103.0
55,André Ayew,MF,Ghana,33-001,Al Sadd SC,3,1,1,61.0,37.0
677,Éder Militão,DF,Brazil,24-334,Real Madrid,4,5,0,306.0,277.0
449,Milan Borjan,GK,Canada,35-056,Red Star,3,0,0,105.0,98.0
486,Nico Williams,FW,Spain,20-159,Athletic Club,4,1,0,88.0,63.0
436,Maxi Gómez,FW,Uruguay,26-126,Trabzonspor,2,2,0,9.0,7.0
228,Gonzalo Plata,MF,Ecuador,22-047,Valladolid,3,2,0,133.0,104.0
404,Manuel Neuer,GK,Germany,36-266,Bayern Munich,3,0,0,133.0,127.0
583,Sergio Busquets,MF,Spain,34-155,Barcelona,4,2,0,309.0,289.0
230,Granit Xhaka,MF,Switzerland,30-082,Arsenal,4,6,0,273.0,243.0
610,Takumi Minamino,FW,Japan,27-336,Monaco,3,2,0,32.0,22.0
481,Nemanja Radonjić,DF,Serbia,26-306,Torino,3,2,0,36.0,24.0
423,Mateo Kovačić,MF,Croatia,28-226,Chelsea,7,3,0,521.0,460.0
47,Anass Zaroury,FW,Morocco,22-041,Burnley,1,0,0,15.0,13.0
201,Federico Valverde,MF,Uruguay,24-149,Real Madrid,3,7,0,225.0,189.0
114,Carlos Soler,MF,Spain,25-350,Paris S-G,2,4,1,88.0,83.0
135,Cyle Larin,FW,Canada,27-245,Club Brugge,3,3,0,44.0,29.0
361,Kim Min-jae,DF,Korea Republic,26-033,Napoli,3,2,0,213.0,191.0
415,Marko Livaja,FW,Croatia,29-114,Hajduk Split,6,6,1,83.0,58.0
413,Mark-Anthony Kaye,MF,Canada,28-016,Toronto FC,1,1,0,68.0,61.0
148,Daniel Kyereh,MF,Ghana,26-285,Freiburg,3,0,0,31.0,23.0
98,Boulaye Dia,FW,Senegal,26-032,Salernitana,4,8,1,81.0,53.0
626,Timothy Weah,FW,United States,22-299,Lille,4,5,1,132.0,108.0
505,Osman Bukari,MF,Ghana,24-005,Red Star,2,3,1,29.0,20.0
329,Jules Koundé,DF,France,24-036,Barcelona,6,4,0,352.0,311.0
448,Milad Mohammadi,DF,IR Iran,29-080,AEK Athens,3,0,0,90.0,68.0
435,Matías Viña,DF,Uruguay,25-039,Roma,2,0,0,26.0,21.0
655,Yann Sommer,GK,Switzerland,34-001,M'Gladbach,3,0,0,126.0,118.0
324,João Palhinha,MF,Portugal,27-162,Fulham,3,1,0,41.0,31.0
10,Abdulellah Al-Malki,MF,Saudi Arabia,28-068,Al-Hilal,2,2,0,105.0,84.0
426,Mathew Ryan,GK,Australia,30-254,FC Copenhagen,4,0,0,176.0,164.0
590,Simon Kjær,DF,Denmark,33-267,Milan,1,0,0,68.0,59.0
164,Devis Epassy,GK,Cameroon,29-319,Abha,2,0,0,93.0,83.0
337,Kalvin Phillips,MF,England,27-016,Manchester City,2,0,0,20.0,19.0
217,Gavi,MF,Spain,18-135,Barcelona,4,1,1,183.0,154.0
136,César Azpilicueta,DF,Spain,33-112,Chelsea,2,0,0,185.0,181.0
581,Serge Gnabry,FW,Germany,27-157,Bayern Munich,3,12,1,148.0,118.0
23,Alan Franco,MF,Ecuador,24-119,Talleres,2,0,0,16.0,11.0
657,Yasser Al-Shahrani,DF,Saudi Arabia,30-207,Al-Hilal,1,0,0,43.0,29.0
78,Axel Disasi,DF,France,24-282,Monaco,3,1,0,90.0,78.0
74,Assim Madibo,MF,Qatar,26-057,Al Duhail SC,2,0,0,85.0,70.0
